"VGS (unknown)","N0:d (L=9.00e-07,W=1.50e-06,VSB=0.00e+00) (A)","N0:d (L=9.00e-06,W=9.00e-06,VSB=0.00e+00) (A)","N0:d (L=9.00e-07,W=1.50e-06,VSB=2.83e+00) (A)","N0:d (L=9.00e-06,W=9.00e-06,VSB=2.83e+00) (A)"
0.00000,0.00000,0.00000,1.0E-14,1.0E-14
0.1000,1.106E-14,1.125E-13,1.0E-14,1.0E-14
0.2000,2.099E-14,1.051E-12,1.0E-14,1.0E-14
0.3000,1.22E-13,1.038E-11,1.0E-14,1.0E-14
0.4000,1.147E-12,1.014E-10,1.0E-14,1.0E-14
0.5000,1.148E-11,9.416E-10,1.0E-14,1.0E-14
0.6000,1.138E-10,7.84E-9,1.0E-14,1.009E-14
0.7000,1.076E-9,5.645E-8,1.0E-14,1.164E-14
0.8000,9.15E-9,3.246E-7,1.001E-14,4.125E-14
0.9000,6.641E-8,1.219E-6,1.01E-14,6.032E-13
1.000,3.796E-7,3.029E-6,1.19E-14,1.114E-11
1.100,1.417E-6,5.758E-6,4.488E-14,1.987E-10
1.200,3.48E-6,9.337E-6,6.488E-13,3.004E-9
1.300,6.501E-6,1.373E-5,1.159E-11,3.235E-8
1.400,1.033E-5,1.891E-5,2.015E-10,2.382E-7
1.500,1.487E-5,2.486E-5,3.046E-9,1.053E-6
1.600,2.004E-5,3.156E-5,3.354E-8,2.836E-6
1.700,2.58E-5,3.901E-5,2.476E-7,5.607E-6
1.800,3.208E-5,4.719E-5,1.098E-6,9.305E-6
1.900,3.886E-5,5.607E-5,2.952E-6,1.389E-5
2.000,4.609E-5,6.565E-5,5.766E-6,1.934E-5
2.100,5.373E-5,7.591E-5,9.407E-6,2.562E-5
2.200,6.175E-5,8.683E-5,1.378E-5,3.273E-5
2.300,7.013E-5,9.839E-5,1.880E-5,4.062E-5
2.400,7.882E-5,1.106E-4,2.443E-5,4.929E-5
2.500,8.783E-5,1.234E-4,3.06E-5,5.871E-5
2.600,9.711E-5,1.368E-4,3.728E-5,6.886E-5
2.700,1.067E-4,1.508E-4,4.441E-5,7.973E-5
2.800,1.164E-4,1.654E-4,5.197E-5,9.128E-5
2.900,1.265E-4,1.806E-4,5.992E-5,1.035E-4
3.000,1.367E-4,1.963E-4,6.823E-5,1.164E-4
3.100,1.471E-4,2.125E-4,7.687E-5,1.299E-4
3.200,1.577E-4,2.292E-4,8.581E-5,1.44E-4
3.300,1.685E-4,2.465E-4,9.505E-5,1.588E-4
3.400,1.795E-4,2.643E-4,1.046E-4,1.741E-4
3.500,1.906E-4,2.825E-4,1.143E-4,1.900E-4
3.600,2.019E-4,3.012E-4,1.243E-4,2.064E-4
3.700,2.133E-4,3.204E-4,1.345E-4,2.234E-4
3.800,2.249E-4,3.401E-4,1.449E-4,2.409E-4
3.900,2.366E-4,3.601E-4,1.555E-4,2.589E-4
4.000,2.484E-4,3.806E-4,1.663E-4,2.774E-4
4.100,2.603E-4,4.016E-4,1.772E-4,2.963E-4
4.200,2.724E-4,4.229E-4,1.883E-4,3.157E-4
4.300,2.845E-4,4.447E-4,1.996E-4,3.356E-4
4.400,2.968E-4,4.668E-4,2.11E-4,3.559E-4
4.500,3.091E-4,4.893E-4,2.225E-4,3.766E-4
4.600,3.216E-4,5.122E-4,2.342E-4,3.977E-4
4.700,3.342E-4,5.354E-4,2.46E-4,4.193E-4
4.800,3.468E-4,5.59E-4,2.579E-4,4.412E-4
4.900,3.595E-4,5.83E-4,2.699E-4,4.634E-4
5.000,3.723E-4,6.073E-4,2.82E-4,4.861E-4
