"VSG (unknown)","P0:s (L=9.00e-06,VBS=0.00e+00,W=9.00e-06) (A)","P0:s (L=9.00e-07,VBS=0.00e+00,W=1.50e-06) (A)","P0:s (L=9.00e-06,VBS=2.83e+00,W=9.00e-06) (A)","P0:s (L=9.00e-07,VBS=2.83e+00,W=1.50e-06) (A)"
0.00000,0.00000,0.00000,-1.0E-14,-1.0E-14
0.1000,2.311E-16,1.523E-16,-1.0E-14,-1.0E-14
0.2000,2.423E-15,1.661E-15,-1.0E-14,-1.0E-14
0.3000,2.509E-14,1.788E-14,-1.0E-14,-1.0E-14
0.4000,2.589E-13,1.919E-13,-1.0E-14,-1.0E-14
0.5000,2.659E-12,2.051E-12,-1.0E-14,-1.0E-14
0.6000,2.691E-11,2.166E-11,-1.0E-14,-9.999E-15
0.7000,2.613E-10,2.213E-10,-9.997E-15,-9.984E-15
0.8000,2.317E-9,2.085E-9,-9.947E-15,-9.715E-15
0.9000,1.828E-8,1.744E-8,-8.996E-15,-4.808E-15
1.000,1.156E-7,1.211E-7,9.040E-15,8.444E-14
1.100,4.46E-7,5.25E-7,3.5E-13,1.698E-12
1.200,1.086E-6,1.374E-6,6.709E-12,3.025E-11
1.300,2.004E-6,2.625E-6,1.191E-10,4.957E-10
1.400,3.167E-6,4.216E-6,1.79E-9,6.622E-9
1.500,4.561E-6,6.115E-6,1.999E-8,6.445E-8
1.600,6.181E-6,8.308E-6,1.392E-7,3.54E-7
1.700,8.022E-6,1.078E-5,5.01E-7,1.043E-6
1.800,1.008E-5,1.353E-5,1.140E-6,2.116E-6
1.900,1.234E-5,1.653E-5,2.032E-6,3.530E-6
2.000,1.481E-5,1.977E-5,3.16E-6,5.258E-6
2.100,1.748E-5,2.324E-5,4.517E-6,7.284E-6
2.200,2.034E-5,2.694E-5,6.095E-6,9.593E-6
2.300,2.339E-5,3.085E-5,7.887E-6,1.217E-5
2.400,2.662E-5,3.496E-5,9.887E-6,1.5E-5
2.500,3.002E-5,3.927E-5,1.209E-5,1.808E-5
2.600,3.36E-5,4.376E-5,1.448E-5,2.139E-5
2.700,3.734E-5,4.843E-5,1.706E-5,2.491E-5
2.800,4.125E-5,5.327E-5,1.983E-5,2.865E-5
2.900,4.531E-5,5.827E-5,2.277E-5,3.259E-5
3.000,4.953E-5,6.343E-5,2.588E-5,3.672E-5
3.100,5.391E-5,6.875E-5,2.916E-5,4.104E-5
3.200,5.842E-5,7.421E-5,3.259E-5,4.553E-5
3.300,6.309E-5,7.981E-5,3.619E-5,5.020E-5
3.400,6.789E-5,8.555E-5,3.993E-5,5.502E-5
3.500,7.283E-5,9.143E-5,4.382E-5,6.001E-5
3.600,7.79E-5,9.743E-5,4.786E-5,6.514E-5
3.700,8.311E-5,1.036E-4,5.203E-5,7.042E-5
3.800,8.844E-5,1.098E-4,5.634E-5,7.585E-5
3.900,9.39E-5,1.162E-4,6.077E-5,8.14E-5
4.000,9.948E-5,1.227E-4,6.534E-5,8.709E-5
4.100,1.052E-4,1.292E-4,7.002E-5,9.291E-5
4.200,1.11E-4,1.359E-4,7.483E-5,9.885E-5
4.300,1.169E-4,1.428E-4,7.975E-5,1.049E-4
4.400,1.23E-4,1.497E-4,8.478E-5,1.111E-4
4.500,1.292E-4,1.567E-4,8.993E-5,1.174E-4
4.600,1.354E-4,1.638E-4,9.518E-5,1.238E-4
4.700,1.418E-4,1.71E-4,1.005E-4,1.303E-4
4.800,1.483E-4,1.783E-4,1.06E-4,1.369E-4
4.900,1.549E-4,1.857E-4,1.116E-4,1.436E-4
5.000,1.616E-4,1.931E-4,1.172E-4,1.504E-4
